id,predicted,actual,difficulty
134,anticholinergic,opioid,0
136,anticholinergic,serotonin_syndrome,1
409,serotonin_syndrome,serotonin_syndrome,2
408,cholinergic,sympathomimetic,1
407,anticholinergic,sedative_hypnotic,0
406,anticholinergic,anticholinergic,2
401,anticholinergic,sedative_hypnotic,2
138,anticholinergic,serotonin_syndrome,2
403,anticholinergic,sympathomimetic,2
402,anticholinergic,sedative_hypnotic,2
233,anticholinergic,serotonin_syndrome,1
230,cholinergic,serotonin_syndrome,1
231,anticholinergic,anticholinergic,0
236,anticholinergic,sympathomimetic,0
234,serotonin_syndrome,opioid,1
328,anticholinergic,anticholinergic,2
332,anticholinergic,opioid,2
238,cholinergic,sympathomimetic,2
334,anticholinergic,sympathomimetic,2
67,cholinergic,opioid,0
64,cholinergic,opioid,2
62,serotonin_syndrome,serotonin_syndrome,2
326,cholinergic,cholinergic,1
88,serotonin_syndrome,cholinergic,0
327,cholinergic,cholinergic,1
413,anticholinergic,sedative_hypnotic,2
458,anticholinergic,sedative_hypnotic,2
94,cholinergic,opioid,0
418,serotonin_syndrome,sympathomimetic,2
247,anticholinergic,cholinergic,2
456,cholinergic,sedative_hypnotic,1
89,anticholinergic,anticholinergic,1
322,anticholinergic,anticholinergic,1
323,cholinergic,sedative_hypnotic,2
325,serotonin_syndrome,serotonin_syndrome,0
249,anticholinergic,opioid,1
248,anticholinergic,anticholinergic,1
74,anticholinergic,serotonin_syndrome,1
77,cholinergic,anticholinergic,2
455,anticholinergic,cholinergic,0
73,serotonin_syndrome,anticholinergic,2
7,anticholinergic,cholinergic,0
339,anticholinergic,anticholinergic,2
338,cholinergic,cholinergic,0
466,cholinergic,cholinergic,1
438,anticholinergic,serotonin_syndrome,1
397,anticholinergic,serotonin_syndrome,0
464,cholinergic,serotonin_syndrome,1
463,cholinergic,anticholinergic,1
390,anticholinergic,cholinergic,0
393,anticholinergic,cholinergic,1
392,cholinergic,anticholinergic,0
399,anticholinergic,cholinergic,2
468,anticholinergic,opioid,0
48,anticholinergic,sympathomimetic,0
333,cholinergic,opioid,2
256,anticholinergic,serotonin_syndrome,2
319,cholinergic,sedative_hypnotic,1
251,anticholinergic,opioid,1
252,anticholinergic,anticholinergic,2
314,anticholinergic,serotonin_syndrome,0
317,anticholinergic,opioid,2
316,cholinergic,cholinergic,0
258,anticholinergic,serotonin_syndrome,2
259,anticholinergic,anticholinergic,0
312,anticholinergic,opioid,0
128,anticholinergic,anticholinergic,1
347,anticholinergic,sedative_hypnotic,2
122,anticholinergic,opioid,2
432,anticholinergic,sympathomimetic,0
120,cholinergic,anticholinergic,0
121,anticholinergic,sympathomimetic,1
127,anticholinergic,serotonin_syndrome,0
124,anticholinergic,anticholinergic,2
125,anticholinergic,sympathomimetic,0
269,cholinergic,opioid,0
475,cholinergic,cholinergic,2
476,anticholinergic,opioid,0
473,cholinergic,serotonin_syndrome,2
263,anticholinergic,anticholinergic,2
478,anticholinergic,sympathomimetic,0
479,serotonin_syndrome,serotonin_syndrome,2
435,anticholinergic,cholinergic,1
302,anticholinergic,serotonin_syndrome,1
303,serotonin_syndrome,cholinergic,1
